,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
64,2019-01-01,289,Monroe St & Classon Ave,40.6845683,-73.95881081,465,364175
65,2019-01-01,291,Madison St & Montgomery St,40.713126,-73.984844,1069,665136
66,2019-01-01,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,4719,3586500
67,2019-01-01,295,Pike St & E Broadway,40.71406667,-73.99293911,1620,1279548
68,2019-01-01,296,Division St & Bowery,40.71413089,-73.9970468,1907,1487590
69,2019-01-01,297,E 15 St & 3 Ave,40.734232,-73.986923,3803,2220374
70,2019-01-01,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,859,643481
71,2019-01-01,301,E 2 St & Avenue B,40.72217444,-73.98368779,2127,1516856
72,2019-01-01,302,Avenue D & E 3 St,40.72082834,-73.97793172,1768,1213739
73,2019-01-01,303,Mercer St & Spring St,40.72362738,-73.99949601,1733,1399734
74,2019-01-01,304,Broadway & Battery Pl,40.70463334,-74.01361706,2139,2051947
75,2019-01-01,305,E 58 St & 3 Ave,40.76095756,-73.96724467,2479,1999211
76,2019-01-01,307,Canal St & Rutgers St,40.71427487,-73.98990025,3161,2051086
77,2019-01-01,308,St James Pl & Oliver St,40.71307916,-73.99851193,1345,855778
78,2019-01-01,309,Murray St & West St,40.7149787,-74.013012,1595,1213262
79,2019-01-01,310,State St & Smith St,40.68926942,-73.98912867,942,572961
80,2019-01-01,311,Norfolk St & Broome St,40.7172274,-73.98802084,2078,1356478
81,2019-01-01,312,Allen St & Stanton St,40.722055,-73.989111,3309,2264857
82,2019-01-01,313,Washington Ave & Park Ave,40.69610226,-73.96751037,724,531480
83,2019-01-01,314,Cadman Plaza West & Montague St,40.69383,-73.990539,1415,843796
84,2019-01-01,315,South St & Gouverneur Ln,40.70355377,-74.00670227,1613,1578629
85,2019-01-01,316,Fulton St & William St,40.70955958,-74.00653609,1966,1435204
86,2019-01-01,317,E 6 St & Avenue B,40.72453734,-73.98185424,2117,1365824
87,2019-01-01,319,Fulton St & Broadway,40.711066,-74.009447,2370,2295801
88,2019-01-01,320,Leonard St & Church St,40.717571,-74.005549,1340,883354
89,2019-01-01,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1118,970185
90,2019-01-01,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1321,872190
91,2019-01-01,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,1364,813394
92,2019-01-01,325,E 19 St & 3 Ave,40.73624527,-73.98473765,2463,1683132
93,2019-01-01,326,E 11 St & 1 Ave,40.72953837,-73.98426726,3059,2146769
